Category: All categories

City,where am i right now: (1/1/04 - 8/14/19)
Nashville,100
Detroit,
New Orleans,
Alexandria,
Charlotte,91
Atlanta,88
Plano,87
Yonkers,
Indianapolis,
Louisville,
Jacksonville,
San Antonio,77
Orlando,
Oklahoma City,
Chicago,73
Fort Worth,
Dallas,70
Houston,70
Omaha,
Washington,62
Philadelphia,60
Phoenix,59
Raleigh,
Sacramento,
Columbus,
Los Angeles,51
San Jose,50
Austin,49
St. Louis,
Boston,47
Tampa,
Denver,44
New York,43
Portland,
San Diego,43
San Francisco,40
Miami,
Minneapolis,
Seattle,
Toronto,19
London,14
Bengaluru,
Hyderabad,
Mumbai,
Sydney,
New Delhi,9
