region,interest
Mississippi,100
South Carolina,94
Alabama,91
Arkansas,90
Indiana,90
Florida,86
North Carolina,85
Oklahoma,84
South Dakota,83
West Virginia,82
Louisiana,81
Georgia,81
New Mexico,80
Iowa,79
Idaho,77
Kentucky,77
Michigan,76
Kansas,76
Arizona,75
Ohio,74
Texas,72
Utah,72
North Dakota,72
Tennessee,71
Delaware,71
Missouri,70
Nebraska,69
Nevada,68
Pennsylvania,68
Wyoming,64
Wisconsin,63
New Jersey,63
Rhode Island,61
Maryland,60
Maine,60
Illinois,60
California,59
Hawaii,59
Virginia,57
Colorado,57
Connecticut,57
Montana,57
Minnesota,56
Alaska,55
Washington,53
New Hampshire,53
New York,52
Massachusetts,51
Vermont,49
Oregon,48
District of Columbia,41
