time,interest
2004-01,4
2004-02,7
2004-03,7
2004-04,8
2004-05,6
2004-06,7
2004-07,5
2004-08,6
2004-09,8
2004-10,6
2004-11,7
2004-12,8
2005-01,9
2005-02,8
2005-03,9
2005-04,10
2005-05,10
2005-06,10
2005-07,9
2005-08,8
2005-09,9
2005-10,10
2005-11,10
2005-12,8
2006-01,10
2006-02,10
2006-03,9
2006-04,10
2006-05,9
2006-06,7
2006-07,8
2006-08,8
2006-09,7
2006-10,9
2006-11,9
2006-12,9
2007-01,9
2007-02,10
2007-03,9
2007-04,9
2007-05,10
2007-06,9
2007-07,9
2007-08,9
2007-09,12
2007-10,10
2007-11,11
2007-12,12
2008-01,12
2008-02,14
2008-03,13
2008-04,14
2008-05,13
2008-06,13
2008-07,13
2008-08,13
2008-09,15
2008-10,18
2008-11,18
2008-12,16
2009-01,20
2009-02,21
2009-03,21
2009-04,20
2009-05,21
2009-06,19
2009-07,19
2009-08,20
2009-09,24
2009-10,25
2009-11,26
2009-12,23
2010-01,25
2010-02,26
2010-03,29
2010-04,28
2010-05,28
2010-06,24
2010-07,25
2010-08,25
2010-09,30
2010-10,30
2010-11,32
2010-12,30
2011-01,38
2011-02,39
2011-03,39
2011-04,39
2011-05,39
2011-06,36
2011-07,36
2011-08,34
2011-09,40
2011-10,42
2011-11,42
2011-12,39
2012-01,54
2012-02,49
2012-03,46
2012-04,47
2012-05,46
2012-06,43
2012-07,45
2012-08,43
2012-09,54
2012-10,50
2012-11,50
2012-12,48
2013-01,50
2013-02,54
2013-03,54
2013-04,56
2013-05,52
2013-06,46
2013-07,46
2013-08,44
2013-09,56
2013-10,57
2013-11,54
2013-12,53
2014-01,56
2014-02,60
2014-03,58
2014-04,60
2014-05,57
2014-06,51
2014-07,51
2014-08,49
2014-09,61
2014-10,62
2014-11,57
2014-12,56
2015-01,59
2015-02,62
2015-03,60
2015-04,62
2015-05,57
2015-06,56
2015-07,56
2015-08,56
2015-09,64
2015-10,67
2015-11,67
2015-12,65
2016-01,77
2016-02,85
2016-03,81
2016-04,82
2016-05,77
2016-06,71
2016-07,67
2016-08,64
2016-09,77
2016-10,79
2016-11,78
2016-12,74
2017-01,83
2017-02,86
2017-03,85
2017-04,84
2017-05,78
2017-06,72
2017-07,72
2017-08,71
2017-09,79
2017-10,87
2017-11,87
2017-12,82
2018-01,77
2018-02,88
2018-03,90
2018-04,93
2018-05,89
2018-06,80
2018-07,79
2018-08,79
2018-09,91
2018-10,97
2018-11,94
2018-12,87
2019-01,91
2019-02,100
2019-03,96
2019-04,99
2019-05,92
2019-06,86
2019-07,82
2019-08,78
