time,interest
2004-01,41
2004-02,39
2004-03,42
2004-04,42
2004-05,41
2004-06,38
2004-07,39
2004-08,42
2004-09,43
2004-10,45
2004-11,43
2004-12,43
2005-01,41
2005-02,51
2005-03,47
2005-04,48
2005-05,47
2005-06,47
2005-07,47
2005-08,41
2005-09,43
2005-10,47
2005-11,44
2005-12,42
2006-01,46
2006-02,47
2006-03,44
2006-04,46
2006-05,44
2006-06,43
2006-07,40
2006-08,40
2006-09,43
2006-10,41
2006-11,42
2006-12,37
2007-01,42
2007-02,42
2007-03,42
2007-04,43
2007-05,42
2007-06,43
2007-07,44
2007-08,43
2007-09,42
2007-10,44
2007-11,44
2007-12,49
2008-01,51
2008-02,52
2008-03,50
2008-04,50
2008-05,51
2008-06,50
2008-07,51
2008-08,51
2008-09,54
2008-10,56
2008-11,58
2008-12,53
2009-01,60
2009-02,60
2009-03,61
2009-04,62
2009-05,64
2009-06,63
2009-07,65
2009-08,66
2009-09,66
2009-10,66
2009-11,70
2009-12,67
2010-01,74
2010-02,76
2010-03,78
2010-04,80
2010-05,77
2010-06,72
2010-07,78
2010-08,76
2010-09,74
2010-10,77
2010-11,78
2010-12,72
2011-01,85
2011-02,83
2011-03,79
2011-04,81
2011-05,82
2011-06,81
2011-07,82
2011-08,80
2011-09,79
2011-10,80
2011-11,80
2011-12,76
2012-01,87
2012-02,85
2012-03,80
2012-04,81
2012-05,81
2012-06,81
2012-07,82
2012-08,90
2012-09,90
2012-10,89
2012-11,93
2012-12,80
2013-01,84
2013-02,85
2013-03,84
2013-04,88
2013-05,82
2013-06,82
2013-07,84
2013-08,85
2013-09,82
2013-10,83
2013-11,85
2013-12,81
2014-01,91
2014-02,93
2014-03,91
2014-04,94
2014-05,89
2014-06,88
2014-07,90
2014-08,88
2014-09,88
2014-10,90
2014-11,91
2014-12,84
2015-01,94
2015-02,93
2015-03,92
2015-04,93
2015-05,92
2015-06,94
2015-07,97
2015-08,95
2015-09,97
2015-10,97
2015-11,98
2015-12,98
2016-01,97
2016-02,98
2016-03,97
2016-04,97
2016-05,92
2016-06,93
2016-07,91
2016-08,85
2016-09,90
2016-10,94
2016-11,100
2016-12,90
2017-01,98
2017-02,96
2017-03,94
2017-04,93
2017-05,92
2017-06,91
2017-07,90
2017-08,90
2017-09,90
2017-10,89
2017-11,91
2017-12,85
2018-01,87
2018-02,94
2018-03,94
2018-04,92
2018-05,89
2018-06,85
2018-07,85
2018-08,87
2018-09,87
2018-10,93
2018-11,97
2018-12,85
2019-01,94
2019-02,97
2019-03,95
2019-04,95
2019-05,93
2019-06,90
2019-07,90
2019-08,88
