time,interest
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,94
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,52
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,26
2007-12,0
2008-01,25
2008-02,25
2008-03,0
2008-04,0
2008-05,23
2008-06,0
2008-07,0
2008-08,0
2008-09,21
2008-10,38
2008-11,20
2008-12,20
2009-01,19
2009-02,0
2009-03,17
2009-04,18
2009-05,0
2009-06,17
2009-07,17
2009-08,25
2009-09,16
2009-10,30
2009-11,22
2009-12,30
2010-01,20
2010-02,29
2010-03,38
2010-04,27
2010-05,27
2010-06,48
2010-07,32
2010-08,19
2010-09,0
2010-10,45
2010-11,33
2010-12,11
2011-01,21
2011-02,21
2011-03,10
2011-04,36
2011-05,29
2011-06,25
2011-07,10
2011-08,28
2011-09,23
2011-10,30
2011-11,77
2011-12,38
2012-01,32
2012-02,37
2012-03,19
2012-04,56
2012-05,41
2012-06,19
2012-07,45
2012-08,26
2012-09,38
2012-10,44
2012-11,28
2012-12,100
2013-01,44
2013-02,38
2013-03,34
2013-04,53
2013-05,27
2013-06,22
2013-07,40
2013-08,34
2013-09,30
2013-10,42
2013-11,49
2013-12,83
2014-01,64
2014-02,38
2014-03,34
2014-04,46
2014-05,46
2014-06,18
2014-07,30
2014-08,33
2014-09,26
2014-10,52
2014-11,53
2014-12,57
2015-01,74
2015-02,44
2015-03,70
2015-04,63
2015-05,38
2015-06,67
2015-07,43
2015-08,47
2015-09,39
2015-10,54
2015-11,60
2015-12,92
2016-01,59
2016-02,44
2016-03,41
2016-04,59
2016-05,46
2016-06,38
2016-07,62
2016-08,87
2016-09,49
2016-10,52
2016-11,54
2016-12,84
2017-01,67
2017-02,59
2017-03,63
2017-04,51
2017-05,53
2017-06,51
2017-07,55
2017-08,69
2017-09,77
2017-10,54
2017-11,27
2017-12,50
2018-01,45
2018-02,44
2018-03,29
2018-04,37
2018-05,36
2018-06,33
2018-07,17
2018-08,46
2018-09,34
2018-10,35
2018-11,45
2018-12,61
2019-01,58
2019-02,49
2019-03,39
2019-04,38
2019-05,30
2019-06,42
2019-07,41
2019-08,48
