time,interest
2004-01,9
2004-02,12
2004-03,11
2004-04,12
2004-05,11
2004-06,9
2004-07,9
2004-08,9
2004-09,12
2004-10,12
2004-11,14
2004-12,17
2005-01,13
2005-02,14
2005-03,12
2005-04,13
2005-05,12
2005-06,10
2005-07,11
2005-08,11
2005-09,13
2005-10,15
2005-11,14
2005-12,16
2006-01,12
2006-02,12
2006-03,13
2006-04,14
2006-05,13
2006-06,10
2006-07,11
2006-08,11
2006-09,13
2006-10,13
2006-11,14
2006-12,17
2007-01,12
2007-02,13
2007-03,14
2007-04,13
2007-05,13
2007-06,13
2007-07,11
2007-08,11
2007-09,14
2007-10,15
2007-11,17
2007-12,19
2008-01,15
2008-02,16
2008-03,16
2008-04,16
2008-05,16
2008-06,14
2008-07,15
2008-08,14
2008-09,18
2008-10,19
2008-11,21
2008-12,22
2009-01,20
2009-02,22
2009-03,22
2009-04,23
2009-05,22
2009-06,19
2009-07,19
2009-08,20
2009-09,26
2009-10,29
2009-11,33
2009-12,32
2010-01,26
2010-02,29
2010-03,32
2010-04,33
2010-05,30
2010-06,25
2010-07,22
2010-08,22
2010-09,30
2010-10,33
2010-11,33
2010-12,32
2011-01,36
2011-02,42
2011-03,41
2011-04,43
2011-05,40
2011-06,32
2011-07,30
2011-08,30
2011-09,42
2011-10,48
2011-11,46
2011-12,41
2012-01,40
2012-02,49
2012-03,48
2012-04,48
2012-05,43
2012-06,35
2012-07,33
2012-08,34
2012-09,50
2012-10,53
2012-11,50
2012-12,46
2013-01,44
2013-02,54
2013-03,51
2013-04,55
2013-05,48
2013-06,39
2013-07,35
2013-08,37
2013-09,57
2013-10,64
2013-11,61
2013-12,51
2014-01,49
2014-02,61
2014-03,58
2014-04,60
2014-05,53
2014-06,41
2014-07,38
2014-08,39
2014-09,62
2014-10,71
2014-11,66
2014-12,58
2015-01,58
2015-02,81
2015-03,70
2015-04,71
2015-05,66
2015-06,52
2015-07,48
2015-08,50
2015-09,78
2015-10,84
2015-11,82
2015-12,72
2016-01,66
2016-02,85
2016-03,78
2016-04,83
2016-05,71
2016-06,59
2016-07,55
2016-08,47
2016-09,76
2016-10,82
2016-11,80
2016-12,70
2017-01,75
2017-02,94
2017-03,82
2017-04,79
2017-05,68
2017-06,50
2017-07,44
2017-08,47
2017-09,78
2017-10,90
2017-11,88
2017-12,65
2018-01,51
2018-02,81
2018-03,86
2018-04,90
2018-05,76
2018-06,55
2018-07,47
2018-08,50
2018-09,88
2018-10,99
2018-11,90
2018-12,72
2019-01,78
2019-02,100
2019-03,90
2019-04,95
2019-05,78
2019-06,58
2019-07,50
2019-08,44
