time,interest
2004-01,4
2004-02,4
2004-03,0
2004-04,0
2004-05,0
2004-06,3
2004-07,0
2004-08,0
2004-09,0
2004-10,3
2004-11,0
2004-12,0
2005-01,2
2005-02,0
2005-03,0
2005-04,2
2005-05,0
2005-06,0
2005-07,0
2005-08,4
2005-09,2
2005-10,3
2005-11,2
2005-12,2
2006-01,0
2006-02,0
2006-03,1
2006-04,1
2006-05,1
2006-06,0
2006-07,0
2006-08,2
2006-09,0
2006-10,0
2006-11,1
2006-12,1
2007-01,1
2007-02,2
2007-03,1
2007-04,1
2007-05,1
2007-06,0
2007-07,1
2007-08,2
2007-09,2
2007-10,1
2007-11,1
2007-12,0
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,<1
2008-11,1
2008-12,<1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,2
2010-07,2
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,2
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,2
2011-07,2
2011-08,1
2011-09,3
2011-10,3
2011-11,3
2011-12,4
2012-01,3
2012-02,4
2012-03,4
2012-04,3
2012-05,4
2012-06,4
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,6
2012-12,4
2013-01,4
2013-02,3
2013-03,6
2013-04,8
2013-05,12
2013-06,14
2013-07,17
2013-08,14
2013-09,13
2013-10,12
2013-11,17
2013-12,16
2014-01,14
2014-02,13
2014-03,16
2014-04,19
2014-05,19
2014-06,22
2014-07,23
2014-08,23
2014-09,19
2014-10,25
2014-11,24
2014-12,25
2015-01,21
2015-02,23
2015-03,29
2015-04,32
2015-05,35
2015-06,43
2015-07,45
2015-08,42
2015-09,36
2015-10,35
2015-11,38
2015-12,42
2016-01,24
2016-02,25
2016-03,35
2016-04,31
2016-05,35
2016-06,41
2016-07,58
2016-08,40
2016-09,38
2016-10,43
2016-11,46
2016-12,37
2017-01,25
2017-02,46
2017-03,52
2017-04,67
2017-05,63
2017-06,82
2017-07,88
2017-08,74
2017-09,67
2017-10,65
2017-11,67
2017-12,75
2018-01,65
2018-02,59
2018-03,54
2018-04,38
2018-05,33
2018-06,44
2018-07,40
2018-08,31
2018-09,25
2018-10,24
2018-11,29
2018-12,30
2019-01,22
2019-02,23
2019-03,39
2019-04,70
2019-05,68
2019-06,88
2019-07,94
2019-08,100
