time,interest
2004-01,19
2004-02,18
2004-03,19
2004-04,21
2004-05,19
2004-06,18
2004-07,19
2004-08,18
2004-09,20
2004-10,22
2004-11,22
2004-12,20
2005-01,22
2005-02,21
2005-03,21
2005-04,24
2005-05,23
2005-06,21
2005-07,22
2005-08,20
2005-09,22
2005-10,24
2005-11,22
2005-12,21
2006-01,24
2006-02,24
2006-03,23
2006-04,23
2006-05,23
2006-06,24
2006-07,21
2006-08,21
2006-09,26
2006-10,24
2006-11,24
2006-12,21
2007-01,21
2007-02,24
2007-03,24
2007-04,24
2007-05,26
2007-06,25
2007-07,24
2007-08,24
2007-09,29
2007-10,28
2007-11,25
2007-12,27
2008-01,28
2008-02,30
2008-03,28
2008-04,29
2008-05,28
2008-06,24
2008-07,26
2008-08,29
2008-09,31
2008-10,28
2008-11,27
2008-12,27
2009-01,29
2009-02,31
2009-03,29
2009-04,30
2009-05,30
2009-06,29
2009-07,33
2009-08,35
2009-09,31
2009-10,32
2009-11,35
2009-12,30
2010-01,35
2010-02,40
2010-03,46
2010-04,44
2010-05,41
2010-06,38
2010-07,44
2010-08,42
2010-09,43
2010-10,44
2010-11,49
2010-12,51
2011-01,60
2011-02,70
2011-03,70
2011-04,67
2011-05,62
2011-06,56
2011-07,55
2011-08,57
2011-09,58
2011-10,73
2011-11,70
2011-12,64
2012-01,65
2012-02,65
2012-03,60
2012-04,59
2012-05,55
2012-06,49
2012-07,46
2012-08,50
2012-09,60
2012-10,54
2012-11,53
2012-12,50
2013-01,49
2013-02,52
2013-03,48
2013-04,52
2013-05,49
2013-06,48
2013-07,54
2013-08,69
2013-09,69
2013-10,54
2013-11,52
2013-12,49
2014-01,50
2014-02,54
2014-03,53
2014-04,51
2014-05,49
2014-06,45
2014-07,50
2014-08,53
2014-09,53
2014-10,53
2014-11,50
2014-12,48
2015-01,49
2015-02,50
2015-03,52
2015-04,54
2015-05,86
2015-06,100
2015-07,62
2015-08,59
2015-09,60
2015-10,58
2015-11,55
2015-12,54
2016-01,56
2016-02,59
2016-03,59
2016-04,58
2016-05,57
2016-06,56
2016-07,49
2016-08,47
2016-09,52
2016-10,52
2016-11,54
2016-12,57
2017-01,59
2017-02,60
2017-03,59
2017-04,56
2017-05,54
2017-06,48
2017-07,50
2017-08,52
2017-09,51
2017-10,54
2017-11,56
2017-12,48
2018-01,45
2018-02,51
2018-03,52
2018-04,52
2018-05,51
2018-06,50
2018-07,49
2018-08,49
2018-09,52
2018-10,53
2018-11,52
2018-12,48
2019-01,50
2019-02,55
2019-03,54
2019-04,52
2019-05,51
2019-06,48
2019-07,49
2019-08,47
